X-point locations.
FORMAT:
YEAR    DAY    HOUR    MIN    RATE    DISTANCE
2022     72       3     35        0.00    13.416
2022     72       3     40        0.00    13.416
2022     72       3     45        0.00    13.416
2022     72       3     50        0.00    13.416
2022     72       3     55        0.00    13.416
2022     72       4      0        0.00    13.416
2022     72       4      5        0.00    13.416
2022     72       4     10        0.00    13.416
2022     72       4     15        0.00    13.416
2022     72       4     20        0.00    13.416
2022     72       4     25        0.00    13.416
2022     72       4     30        0.00    13.416
2022     72       4     35        0.00    13.416
2022     72       4     40        0.00    13.416
2022     72       4     45        0.00    13.416
2022     72       4     50        0.00    13.416
2022     72       4     55        0.00    13.416
2022     72       5      0        0.00    13.416
2022     72       5      5        0.00    13.416
2022     72       5     10        0.00    13.416
2022     72       5     15        0.00    13.416
2022     72       5     20        0.00    13.416
2022     72       5     25        0.00    13.416
2022     72       5     30        0.00    13.416
2022     72       5     35        0.00    13.416
2022     72       5     40        0.00    13.416
2022     72       5     45        0.00    13.416
2022     72       5     50        0.00    13.416
2022     72       5     55        0.00    13.416
2022     72       6      0        0.00    13.416
2022     72       6      5        0.00    13.416
2022     72       6     10        0.00    13.416
2022     72       6     15        0.00    13.416
2022     72       6     20        0.00    13.416
2022     72       6     25        0.00    13.416
2022     72       6     30        0.00    13.416
2022     72       6     35        0.00    13.416
2022     72       6     40        0.00    13.416
2022     72       6     45        0.00    13.416
2022     72       6     50        0.00    13.416
2022     72       6     55        0.00    13.416
2022     72       7      0        0.00    13.416
2022     72       7      5        0.00    13.416
2022     72       7     10        0.00    13.416
2022     72       7     15        0.00    13.416
2022     72       7     20        0.00    13.416
2022     72       7     25        0.00    13.416
2022     72       7     30        0.00    13.416
2022     72       7     35        0.00    13.416
2022     72       7     40        0.00    13.416
2022     72       7     45        0.00    13.416
2022     72       7     50        0.00    13.416
2022     72       7     55        0.00    13.416
2022     72       8      0        0.00    13.416
2022     72       8      5        0.00    13.416
2022     72       8     10        0.00    13.416
2022     72       8     15        0.00    13.416
2022     72       8     20        0.00    13.416
2022     72       8     25        0.00    13.416
2022     72       8     30        0.00    13.416
2022     72       8     35        0.00    13.416
2022     72       8     40        0.00    13.416
2022     72       8     45        0.00    13.416
2022     72       8     50        0.00    13.416
2022     72       8     55        0.00    13.416
2022     72       9      0        0.00    13.416
2022     72       9      5        0.00    13.416
2022     72       9     10        0.00    13.416
2022     72       9     15        0.00    13.416
2022     72       9     20        0.00    13.416
2022     72       9     25        0.00    13.416
2022     72       9     30        0.00    13.416
2022     72       9     35        0.00    13.416
2022     72       9     40        0.00    13.416
2022     72       9     45        0.00    13.416
2022     72       9     50        0.00    13.416
2022     72       9     55        0.00    13.416
2022     72      10      0        0.00    13.416
2022     72      10      5        0.00    13.416
2022     72      10     10        0.00    13.416
2022     72      10     15        0.00    13.416
2022     72      10     20        0.00    13.416
2022     72      10     25        0.00    13.416
2022     72      10     30        0.00    13.416
2022     72      10     35        0.00    13.416
2022     72      10     40        0.00    13.416
2022     72      10     45        0.00    13.416
2022     72      10     50        0.00    13.416
2022     72      10     55        0.00    13.416
2022     72      11      0        0.00    13.416
2022     72      11      5        0.00    13.416
2022     72      11     10        0.00    13.416
2022     72      11     15        0.00    13.416
2022     72      11     20        0.08     9.522
2022     72      11     25        0.00    13.416
2022     72      11     30        0.00    13.416
2022     72      11     35        0.03     9.480
2022     72      11     40        0.00    13.416
2022     72      11     45        0.00    13.416
2022     72      11     50        0.00    13.416
2022     72      11     55        0.10     9.120
2022     72      12      0        0.30     9.040
2022     72      12      5        0.91     8.961
2022     72      12     10        1.53     8.882
2022     72      12     15        1.65     8.886
2022     72      12     20        1.81     8.738
2022     72      12     25        1.24     8.661
2022     72      12     30        1.18     8.581
2022     72      12     35        1.84     8.536
2022     72      12     40        2.34     8.496
2022     72      12     45        2.11     8.454
2022     72      12     50        2.14     8.501
2022     72      12     55        2.19     8.467
2022     72      13      0        2.61     8.438
2022     72      13      5        1.32     8.511
2022     72      13     10        2.35     8.450
2022     72      13     15        2.28     8.420
2022     72      13     20        1.69     8.509
2022     72      13     25        0.78     8.723
2022     72      13     30        0.47     8.871
2022     72      13     35        0.22     8.857
2022     72      13     40        0.17     8.892
2022     72      13     45        0.33     8.916
2022     72      13     50        0.36     8.822
2022     72      13     55        0.41     8.787
2022     72      14      0        1.33     8.782
2022     72      14      5        0.75     8.787
2022     72      14     10        1.07     8.782
2022     72      14     15        0.71     8.822
2022     72      14     20        0.97     8.920
2022     72      14     25        0.66     9.011
2022     72      14     30        1.47     9.003
2022     72      14     35        0.76     9.083
2022     72      14     40        0.20     9.202
2022     72      14     45        0.12     9.365
2022     72      14     50        0.30     9.418
2022     72      14     55        0.27     9.392
2022     72      15      0        0.18     9.388
2022     72      15      5        0.29     9.485
2022     72      15     10        0.48     9.489
2022     72      15     15        0.55     9.612
2022     72      15     20        0.34     9.652
2022     72      15     25        0.42     9.719
2022     72      15     30        0.39     9.688
2022     72      15     35        0.00    13.416
2022     72      15     40        0.48     9.753
2022     72      15     45        0.68     9.767
2022     72      15     50        0.00    13.416
2022     72      15     55        0.00    13.416
2022     72      16      0        0.00    13.416
2022     72      16      5        0.48     9.895
2022     72      16     10        1.17     9.443
2022     72      16     15        0.77     9.369
2022     72      16     20        1.35     9.367
2022     72      16     25        0.59     9.610
2022     72      16     30        0.89     9.444
2022     72      16     35        0.14     9.409
2022     72      16     40        0.92     9.268
2022     72      16     45        0.21     9.104
2022     72      16     50        0.12     9.209
2022     72      16     55        0.18     9.042
2022     72      17      0        0.62     9.055
2022     72      17      5        0.36     8.858
2022     72      17     10        0.61     8.963
2022     72      17     15        0.74     8.911
2022     72      17     20        0.80     8.904
2022     72      17     25        0.22     8.865
2022     72      17     30        0.99     8.930
2022     72      17     35        0.52     8.977
2022     72      17     40        0.36     8.904
2022     72      17     45        0.57     8.950
2022     72      17     50        0.13     9.075
2022     72      17     55        0.25     9.057
2022     72      18      0        0.58     9.045
2022     72      18      5        0.28     9.080
2022     72      18     10        0.46     9.080
2022     72      18     15        0.60     9.069
2022     72      18     20        0.19     9.144
2022     72      18     25        0.29     9.191
2022     72      18     30        0.28     9.295
2022     72      18     35        0.48     9.400
2022     72      18     40        0.42     9.527
2022     72      18     45        0.28     9.562
2022     72      18     50        0.40     9.761
2022     72      18     55        0.38     9.576
2022     72      19      0        0.26     9.848
2022     72      19      5        0.00    13.416
2022     72      19     10        0.00    13.416
2022     72      19     15        0.00    13.416
2022     72      19     20        0.00    13.416
2022     72      19     25        0.00    13.416
2022     72      19     30        0.00    13.416
2022     72      19     35        0.00    13.416
2022     72      19     40        0.00    13.416
2022     72      19     45        0.00    13.416
2022     72      19     50        0.00    13.416
2022     72      19     55        0.00    13.416
2022     72      20      0        0.00    13.416
2022     72      20      5        0.00    13.416
2022     72      20     10        0.22     9.563
2022     72      20     15        0.32     9.360
2022     72      20     20        0.25     9.280
2022     72      20     25        0.34     9.200
2022     72      20     30        0.36     9.160
2022     72      20     35        0.39     9.160
2022     72      20     40        0.41     9.160
2022     72      20     45        0.54     9.080
2022     72      20     50        0.66     9.043
2022     72      20     55        0.32     9.080
2022     72      21      0        0.69     9.120
2022     72      21      5        0.58     9.201
2022     72      21     10        0.32     9.405
2022     72      21     15        0.33     9.485
2022     72      21     20        0.26     9.730
2022     72      21     25        0.00    13.416
2022     72      21     30        0.00    13.416
2022     72      21     35        0.00    13.416
2022     72      21     40        0.00    13.416
2022     72      21     45        0.00    13.416
2022     72      21     50        0.00    13.416
2022     72      21     55        0.00    13.416
2022     72      22      0        0.00    13.416
2022     72      22      5        0.94     9.480
2022     72      22     10        0.34     9.124
2022     72      22     15        0.38     8.840
2022     72      22     20        1.51     8.761
2022     72      22     25        1.63     8.680
2022     72      22     30        0.92     8.601
2022     72      22     35        0.49     8.642
2022     72      22     40        0.27     8.883
2022     72      22     45        0.18     9.044
2022     72      22     50        0.07     8.929
2022     72      22     55        0.12     8.889
2022     72      23      0        0.32     9.015
2022     72      23      5        0.35     8.853
2022     72      23     10        0.45     8.933
2022     72      23     15        0.46     8.813
2022     72      23     20        0.44     8.853
2022     72      23     25        0.34     8.975
2022     72      23     30        0.29     9.139
2022     72      23     35        0.24     9.677
2022     72      23     40        0.40     9.888
2022     72      23     45        0.00    13.416
2022     72      23     50        0.00    13.416
2022     72      23     55        0.00    13.416
2022     73       0      0        0.00    13.416
2022     73       0      5        0.00    13.416
2022     73       0     10        0.00    13.416
2022     73       0     15        0.00    13.416
2022     73       0     20        0.00    13.416
2022     73       0     25        0.00    13.416
2022     73       0     30        0.00    13.416
2022     73       0     35        0.00    13.416
2022     73       0     40        0.00    13.416
2022     73       0     45        0.00    13.416
2022     73       0     50        0.00    13.416
2022     73       0     55        0.00    13.416
2022     73       1      0        0.00    13.416
2022     73       1      5        0.00    13.416
2022     73       1     10        0.00    13.416
2022     73       1     15        0.00    13.416
2022     73       1     20        0.00    13.416
2022     73       1     25        0.00    13.416
2022     73       1     30        0.00    13.416
2022     73       1     35        0.00    13.416
2022     73       1     40        0.00    13.416
2022     73       1     45        0.00    13.416
2022     73       1     50        0.00    13.416
2022     73       1     55        0.00    13.416
2022     73       2      0        0.00    13.416
2022     73       2      5        0.00    13.416
2022     73       2     10        0.00    13.416
2022     73       2     15        0.00    13.416
2022     73       2     20        0.00    13.416
2022     73       2     25        0.00    13.416
2022     73       2     30        0.00    13.416
2022     73       2     35        0.00    13.416
2022     73       2     40        0.00    13.416
2022     73       2     45        0.00    13.416
2022     73       2     50        0.00    13.416
2022     73       2     55        0.00    13.416
2022     73       3      0        0.00    13.416
2022     73       3      5        0.00    13.416
2022     73       3     10        0.00    13.416
2022     73       3     15        0.00    13.416
2022     73       3     20        0.00    13.416
2022     73       3     25        0.00    13.416
2022     73       3     30        0.00    13.416
2022     73       3     35        0.00    13.416
2022     73       3     40        0.00    13.416
2022     73       3     45        0.00    13.416
2022     73       3     50        0.00    13.416
2022     73       3     55        0.00    13.416
2022     73       4      0        0.00    13.416
2022     73       4      5        0.00    13.416
2022     73       4     10        0.00    13.416
2022     73       4     15        0.00    13.416
2022     73       4     20        0.00    13.416
2022     73       4     25        0.00    13.416
2022     73       4     30        0.00    13.416
2022     73       4     35        0.00    13.416
2022     73       4     40        0.00    13.416
2022     73       4     45        0.00    13.416
2022     73       4     50        0.00    13.416
2022     73       4     55        0.00    13.416
2022     73       5      0        0.00    13.416
2022     73       5      5        0.00    13.416
2022     73       5     10        0.00    13.416
2022     73       5     15        0.00    13.416
2022     73       5     20        0.00    13.416
2022     73       5     25        0.00    13.416
2022     73       5     30        0.00    13.416
2022     73       5     35        0.00    13.416
2022     73       5     40        0.00    13.416
2022     73       5     45        0.00    13.416
2022     73       5     50        0.00    13.416
2022     73       5     55        0.00    13.416
2022     73       6      0        0.00    13.416
2022     73       6      5        0.00    13.416
2022     73       6     10        0.00    13.416
2022     73       6     15        0.00    13.416
2022     73       6     20        0.00    13.416
2022     73       6     25        0.00    13.416
2022     73       6     30        0.00    13.416
2022     73       6     35        0.00    13.416
2022     73       6     40        0.00    13.416
2022     73       6     45        0.00    13.416
2022     73       6     50        0.00    13.416
2022     73       6     55        0.00    13.416
2022     73       7      0        0.00    13.416
2022     73       7      5        0.00    13.416
2022     73       7     10        0.00    13.416
2022     73       7     15        0.00    13.416
2022     73       7     20        0.00    13.416
2022     73       7     25        0.00    13.416
2022     73       7     30        0.00    13.416
2022     73       7     35        0.00    13.416
2022     73       7     40        0.00    13.416
2022     73       7     45        0.00    13.416
2022     73       7     50        0.00    13.416
2022     73       7     55        0.00    13.416
2022     73       8      0        0.00    13.416
2022     73       8      5        0.00    13.416
2022     73       8     10        0.00    13.416
2022     73       8     15        0.00    13.416
2022     73       8     20        0.00    13.416
2022     73       8     25        0.00    13.416
2022     73       8     30        0.00    13.416
2022     73       8     35        0.00    13.416
2022     73       8     40        0.00    13.416
2022     73       8     45        0.00    13.416
2022     73       8     50        0.00    13.416
2022     73       8     55        0.00    13.416
2022     73       9      0        0.00    13.416
2022     73       9      5        0.00    13.416
2022     73       9     10        0.00    13.416
2022     73       9     15        0.00    13.416
2022     73       9     20        0.00    13.416
2022     73       9     25        0.00    13.416
2022     73       9     30        0.00    13.416
2022     73       9     35        0.00    13.416
2022     73       9     40        0.00    13.416
2022     73       9     45        0.00    13.416
2022     73       9     50        0.00    13.416
2022     73       9     55        0.00    13.416
2022     73      10      0        0.00    13.416
2022     73      10      5        0.00    13.416
2022     73      10     10        0.00    13.416
2022     73      10     15        0.00    13.416
2022     73      10     20        0.00    13.416
2022     73      10     25        0.00    13.416
2022     73      10     30        0.00    13.416
2022     73      10     35        0.00    13.416
2022     73      10     40        0.00    13.416
2022     73      10     45        0.00    13.416
2022     73      10     50        0.00    13.416
2022     73      10     55        0.00    13.416
2022     73      11      0        0.00    13.416
2022     73      11      5        0.00    13.416
2022     73      11     10        0.00    13.416
2022     73      11     15        0.00    13.416
2022     73      11     20        0.00    13.416
2022     73      11     25        0.00    13.416
2022     73      11     30        0.00    13.416
2022     73      11     35        0.00    13.416
2022     73      11     40        0.00    13.416
2022     73      11     45        0.00    13.416
2022     73      11     50        0.00    13.416
2022     73      11     55        0.00    13.416
2022     73      12      0        0.00    13.416
2022     73      12      5        0.00    13.416
2022     73      12     10        0.00    13.416
2022     73      12     15        0.00    13.416
2022     73      12     20        0.00    13.416
2022     73      12     25        0.00    13.416
2022     73      12     30        0.00    13.416
2022     73      12     35        0.00    13.416
2022     73      12     40        0.00    13.416
2022     73      12     45        0.00    13.416
2022     73      12     50        0.00    13.416
2022     73      12     55        0.00    13.416
2022     73      13      0        0.00    13.416
2022     73      13      5        0.00    13.416
2022     73      13     10        0.00    13.416
2022     73      13     15        0.00    13.416
2022     73      13     20        0.00    13.416
2022     73      13     25        0.00    13.416
2022     73      13     30        0.00    13.416
2022     73      13     35        0.00    13.416
2022     73      13     40        0.00    13.416
2022     73      13     45        0.00    13.416
2022     73      13     50        0.00    13.416
2022     73      13     55        0.00    13.416
2022     73      14      0        0.00    13.416
2022     73      14      5        0.00    13.416
2022     73      14     10        0.00    13.416
2022     73      14     15        0.00    13.416
2022     73      14     20        0.00    13.416
2022     73      14     25        0.00    13.416
2022     73      14     30        0.00    13.416
2022     73      14     35        0.00    13.416
2022     73      14     40        0.00    13.416
2022     73      14     45        0.00    13.416
2022     73      14     50        0.00    13.416
2022     73      14     55        0.00    13.416
2022     73      15      0        0.00    13.416
2022     73      15      5        0.00    13.416
2022     73      15     10        0.00    13.416
2022     73      15     15        0.00    13.416
2022     73      15     20        0.00    13.416
2022     73      15     25        0.00    13.416
2022     73      15     30        0.00    13.416
2022     73      15     35        0.00    13.416
2022     73      15     40        0.00    13.416
2022     73      15     45        0.00    13.416
2022     73      15     50        0.00    13.416
2022     73      15     55        0.00    13.416
2022     73      16      0        0.00    13.416
2022     73      16      5        0.00    13.416
2022     73      16     10        0.00    13.416
2022     73      16     15        0.00    13.416
2022     73      16     20        0.00    13.416
2022     73      16     25        0.00    13.416
2022     73      16     30        0.00    13.416
2022     73      16     35        0.00    13.416
2022     73      16     40        0.00    13.416
2022     73      16     45        0.00    13.416
2022     73      16     50        0.00    13.416
2022     73      16     55        0.00    13.416
2022     73      17      0        0.00    13.416
2022     73      17      5        0.00    13.416
2022     73      17     10        0.00    13.416
2022     73      17     15        0.00    13.416
2022     73      17     20        0.00    13.416
2022     73      17     25        0.00    13.416
2022     73      17     30        0.00    13.416
2022     73      17     35        0.00    13.416
2022     73      17     40        0.00    13.416
2022     73      17     45        0.00    13.416
2022     73      17     50        0.00    13.416
2022     73      17     55        0.00    13.416
2022     73      18      0        0.00    13.416
2022     73      18      5        0.00    13.416
2022     73      18     10        0.00    13.416
2022     73      18     15        0.00    13.416
2022     73      18     20        0.00    13.416
2022     73      18     25        0.00    13.416
2022     73      18     30        0.00    13.416
2022     73      18     35        0.00    13.416
